anno,mese,giorno,capannone,razza,n_galline,uova_prodotte,giorni_in_capannone,n_morte,n_vendute
2022,2,26,3,hiline,4708,3210,239,0,0
2022,2,27,3,hiline,4708,4365,240,0,0
2022,2,28,3,hiline,4707,3820,241,1,0
2022,3,1,3,hiline,4706,3690,242,1,0
2022,3,2,3,hiline,4706,3630,243,0,0
2022,3,3,3,hiline,4701,3045,244,0,5
2022,3,4,3,hiline,4695,3890,245,0,6
2022,3,5,3,hiline,4695,3050,246,0,0
2022,3,6,3,hiline,4693,3050,247,2,0
2022,3,7,3,hiline,4693,3160,248,0,0
2022,3,8,3,hiline,4693,3160,249,0,0
2022,3,9,3,hiline,4693,3490,250,0,0
2022,3,10,3,hiline,4693,3046,251,0,0
2022,3,11,3,hiline,4691,3920,252,2,0
2022,3,12,3,hiline,4691,3946,253,0,0
2022,3,13,3,hiline,4691,3590,254,0,0
2022,3,14,3,hiline,4691,3860,255,0,0
2022,3,15,3,hiline,4691,3230,256,0,0
2022,3,16,3,hiline,4691,3988,257,0,0
2022,3,17,3,hiline,4690,3627,258,1,0
2022,3,18,3,hiline,4690,3630,259,0,0
2022,3,19,3,hiline,4684,3823,260,0,6
2022,3,20,3,hiline,4680,3130,261,4,0
2022,3,21,3,hiline,4680,3250,262,0,0
2022,3,22,3,hiline,4680,3220,263,0,0
2022,3,23,3,hiline,4677,3965,264,3,0
2022,3,24,3,hiline,4675,3306,265,2,0
2022,3,25,3,hiline,4675,3360,266,0,0
2022,3,26,3,hiline,4671,3490,267,0,4
2022,3,27,3,hiline,4667,2840,268,4,0
2022,3,28,3,hiline,4667,3530,269,0,0
2022,3,29,3,hiline,4659,2720,270,4,4
2022,3,30,3,hiline,4653,3230,271,2,4
2022,3,31,3,hiline,4649,3140,272,0,4
2022,4,1,3,hiline,4646,4110,273,3,0
2022,4,2,3,hiline,4631,4400,274,5,10
2022,4,3,3,hiline,4626,3960,275,5,0
2022,4,4,3,hiline,4626,4080,276,0,0
2022,4,5,3,hiline,4623,4063,277,1,2
2022,4,6,3,hiline,4623,3907,278,0,0
2022,4,7,3,hiline,4622,4162,279,1,0
2022,4,8,3,hiline,4617,4357,280,0,5
2022,4,9,3,hiline,4615,3694,281,2,0
2022,4,10,3,hiline,4615,,282,0,0
2022,4,11,3,hiline,4615,5395,283,0,0
2022,4,12,3,hiline,4612,3950,284,1,2
2022,4,13,3,hiline,4612,4358,285,0,0
2022,4,14,3,hiline,4612,4085,286,0,0
2022,4,15,3,hiline,4610,4100,287,2,0
2022,4,16,3,hiline,4605,3430,288,1,4
2022,4,17,3,hiline,4605,4320,289,0,0
2022,4,18,3,hiline,4603,4470,290,2,0
2022,4,19,3,hiline,4603,3940,291,0,0
2022,4,20,3,hiline,4603,1920,292,0,0
2022,4,21,3,hiline,4602,5400,293,1,0
2022,4,22,3,hiline,4602,4810,294,0,0
2022,4,23,3,hiline,4602,4150,295,0,0
2022,4,24,3,hiline,4598,4123,296,3,1
2022,4,25,3,hiline,4598,4533,297,0,0
2022,4,26,3,hiline,4597,3818,298,0,1
2022,4,27,3,hiline,4596,4230,299,0,1
2022,4,28,3,hiline,4596,4330,300,0,0
2022,4,29,3,hiline,4593,4240,301,0,3
2022,4,30,3,hiline,4593,3500,302,0,0
2022,5,1,3,hiline,4593,4221,303,0,0
2022,5,2,3,hiline,4592,4360,304,1,0
2022,5,3,3,hiline,4591,3530,305,1,0
2022,5,4,3,hiline,4590,2480,306,1,0
2022,5,5,3,hiline,4588,4640,307,2,0
2022,5,6,3,hiline,4587,4130,308,1,0
2022,5,7,3,hiline,4586,3980,309,1,0
2022,5,8,3,hiline,4584,4070,310,2,0
2022,5,9,3,hiline,4582,4080,311,2,0
2022,5,10,3,hiline,4582,3980,312,0,0
2022,5,11,3,hiline,4580,3366,313,2,0
2022,5,12,3,hiline,4576,4200,314,4,0
2022,5,13,3,hiline,4576,3054,315,0,0
2022,5,14,3,hiline,4576,4650,316,0,0
2022,5,15,3,hiline,4574,4135,317,2,0
2022,5,16,3,hiline,4573,3730,318,1,0
2022,5,17,3,hiline,4573,4010,319,0,0
2022,5,18,3,hiline,4572,3820,320,1,0
2022,5,19,3,hiline,4572,3230,321,0,0
2022,5,20,3,hiline,4568,4040,322,4,0
2022,5,21,3,hiline,4568,4130,323,0,0
2022,5,22,3,hiline,4565,3745,324,3,0
2022,5,23,3,hiline,4563,4080,325,2,0
2022,5,24,3,hiline,4561,4410,326,2,0
2022,5,25,3,hiline,4558,3720,327,3,0
2022,5,26,3,hiline,4558,4120,328,0,0
2022,5,27,3,hiline,4558,3600,329,0,0
2022,5,28,3,hiline,4556,3640,330,2,0
2022,5,29,3,hiline,4554,2565,331,2,0
2022,5,30,3,hiline,4553,3860,332,1,0
2022,6,1,3,hiline,4553,3420,333,0,0
2022,6,2,3,hiline,4551,4070,334,2,0
2022,6,3,3,hiline,4549,3520,335,2,0
2022,6,4,3,hiline,4549,3390,336,0,0
2022,6,5,3,hiline,4548,2580,337,1,0
2022,6,6,3,hiline,4548,4631,338,0,0
2022,6,7,3,hiline,4547,2150,339,1,0
2022,6,8,3,hiline,4547,4030,340,0,0
2022,6,9,3,hiline,4547,3530,341,0,0
2022,6,10,3,hiline,4546,3940,342,1,0
2022,6,11,3,hiline,4546,3070,343,0,0
